"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02276V02746","Domestic","C02599V03153","Reason for Journey","UNIT","VALUE"
"HTQ01C1","Number of Trips by Irish Residents","2001Q4","2001Q4","02","Outbound","03","Visiting friends/relatives","Thousand","234"
"HTQ01C1","Number of Trips by Irish Residents","2001Q4","2001Q4","02","Outbound","08","Other reasons","Thousand","69"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","01","Domestic","-","All reasons for journey","Thousand","1360"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","01","Domestic","01","Holiday","Thousand","485"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","01","Domestic","02","Business","Thousand","143"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","01","Domestic","03","Visiting friends/relatives","Thousand","582"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","01","Domestic","08","Other reasons","Thousand","151"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","02","Outbound","-","All reasons for journey","Thousand","884"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","02","Outbound","01","Holiday","Thousand","459"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","02","Outbound","02","Business","Thousand","164"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","02","Outbound","03","Visiting friends/relatives","Thousand","189"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","02","Outbound","08","Other reasons","Thousand","72"
"HTQ01C1","Number of Trips by Irish Residents","2002Q2","2002Q2","01","Domestic","-","All reasons for journey","Thousand","1446"
"HTQ01C1","Number of Trips by Irish Residents","2002Q2","2002Q2","01","Domestic","01","Holiday","Thousand","652"
"HTQ01C1","Number of Trips by Irish Residents","2002Q2","2002Q2","01","Domestic","02","Business","Thousand","143"
"HTQ01C1","Number of Trips by Irish Residents","2002Q2","2002Q2","01","Domestic","03","Visiting friends/relatives","Thousand","467"
"HTQ01C1","Number of Trips by Irish Residents","2002Q2","2002Q2","01","Domestic","08","Other reasons","Thousand","184"
"HTQ01C1","Number of Trips by Irish Residents","2002Q2","2002Q2","02","Outbound","-","All reasons for journey","Thousand","1177"
"HTQ01C1","Number of Trips by Irish Residents","2002Q2","2002Q2","02","Outbound","01","Holiday","Thousand","771"
"HTQ01C1","Number of Trips by Irish Residents","2002Q2","2002Q2","02","Outbound","02","Business","Thousand","145"
"HTQ01C1","Number of Trips by Irish Residents","2002Q2","2002Q2","02","Outbound","03","Visiting friends/relatives","Thousand","181"
"HTQ01C1","Number of Trips by Irish Residents","2002Q2","2002Q2","02","Outbound","08","Other reasons","Thousand","79"
"HTQ01C1","Number of Trips by Irish Residents","2002Q3","2002Q3","01","Domestic","-","All reasons for journey","Thousand","2070"
"HTQ01C1","Number of Trips by Irish Residents","2002Q3","2002Q3","01","Domestic","01","Holiday","Thousand","1179"
"HTQ01C1","Number of Trips by Irish Residents","2002Q3","2002Q3","01","Domestic","02","Business","Thousand","123"
"HTQ01C1","Number of Trips by Irish Residents","2002Q3","2002Q3","01","Domestic","03","Visiting friends/relatives","Thousand","541"
"HTQ01C1","Number of Trips by Irish Residents","2002Q3","2002Q3","01","Domestic","08","Other reasons","Thousand","227"
"HTQ01C1","Number of Trips by Irish Residents","2002Q3","2002Q3","02","Outbound","-","All reasons for journey","Thousand","1539"
"HTQ01C1","Number of Trips by Irish Residents","2002Q3","2002Q3","02","Outbound","01","Holiday","Thousand","1112"
"HTQ01C1","Number of Trips by Irish Residents","2002Q3","2002Q3","02","Outbound","02","Business","Thousand","140"
"HTQ01C1","Number of Trips by Irish Residents","2002Q3","2002Q3","02","Outbound","03","Visiting friends/relatives","Thousand","211"
"HTQ01C1","Number of Trips by Irish Residents","2002Q3","2002Q3","02","Outbound","08","Other reasons","Thousand","77"
"HTQ01C1","Number of Trips by Irish Residents","2002Q4","2002Q4","01","Domestic","-","All reasons for journey","Thousand","1575"
"HTQ01C1","Number of Trips by Irish Residents","2002Q4","2002Q4","01","Domestic","01","Holiday","Thousand","504"
"HTQ01C1","Number of Trips by Irish Residents","2002Q4","2002Q4","01","Domestic","02","Business","Thousand","174"
"HTQ01C1","Number of Trips by Irish Residents","2002Q4","2002Q4","01","Domestic","03","Visiting friends/relatives","Thousand","697"
"HTQ01C1","Number of Trips by Irish Residents","2002Q4","2002Q4","01","Domestic","08","Other reasons","Thousand","200"
"HTQ01C1","Number of Trips by Irish Residents","2002Q4","2002Q4","02","Outbound","-","All reasons for journey","Thousand","997"
"HTQ01C1","Number of Trips by Irish Residents","2002Q4","2002Q4","02","Outbound","01","Holiday","Thousand","491"
"HTQ01C1","Number of Trips by Irish Residents","2002Q4","2002Q4","02","Outbound","02","Business","Thousand","160"
"HTQ01C1","Number of Trips by Irish Residents","2002Q4","2002Q4","02","Outbound","03","Visiting friends/relatives","Thousand","275"
"HTQ01C1","Number of Trips by Irish Residents","2002Q4","2002Q4","02","Outbound","08","Other reasons","Thousand","71"
"HTQ01C1","Number of Trips by Irish Residents","2003Q1","2003Q1","01","Domestic","-","All reasons for journey","Thousand","1447"
