"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02599V03153","Reason for Journey","C02196V04140","Region Visited","UNIT","VALUE"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","02","Business","IE05","Southern","Thousand","45"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","02","Business","IE051","Mid-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","02","Business","IE052","South-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","02","Business","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","02","Business","IE06","Eastern and Midland","Thousand","72"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","02","Business","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","02","Business","IE062","Mid-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","02","Business","IE063","Midland","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","03","Visiting friends/relatives","-","State","Thousand","1042"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","03","Visiting friends/relatives","IE04","Northern and Western","Thousand","306"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","03","Visiting friends/relatives","IE041","Border","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","03","Visiting friends/relatives","IE042","West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","03","Visiting friends/relatives","IE05","Southern","Thousand","448"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","03","Visiting friends/relatives","IE051","Mid-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","03","Visiting friends/relatives","IE052","South-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","03","Visiting friends/relatives","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","03","Visiting friends/relatives","IE06","Eastern and Midland","Thousand","288"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","03","Visiting friends/relatives","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","03","Visiting friends/relatives","IE062","Mid-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","03","Visiting friends/relatives","IE063","Midland","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","08","Other reasons","-","State","Thousand","318"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","08","Other reasons","IE04","Northern and Western","Thousand","72"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","08","Other reasons","IE041","Border","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","08","Other reasons","IE042","West","Thousand",""
